
2025/04/23 (15:09:49) | ===> btop++ v.1.4.0
2025/04/23 (15:09:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (15:09:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (16:23:54) | ===> btop++ v.1.4.0
2025/04/23 (16:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (16:23:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (17:00:23) | ===> btop++ v.1.4.0
2025/04/23 (17:00:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (17:00:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (17:45:38) | ===> btop++ v.1.4.0
2025/04/23 (17:45:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (17:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (20:25:21) | ===> btop++ v.1.4.0
2025/04/23 (20:25:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (20:25:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (00:02:16) | ===> btop++ v.1.4.0
2025/04/27 (00:02:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/27 (00:02:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (09:21:27) | ===> btop++ v.1.4.0
2025/04/28 (09:21:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/28 (09:21:27) | WARNING: Intel GPU: Failed to initialize PMU
